Uitdaging,Challenge,jQM(abs),jQM(max),jQM(rel),ST(abs),ST(max),ST(rel),Lungo(abs),Lungo(max),Lungo(rel),Kendo(abs),Kendo(max),Kendo(rel)
\uit{offline-data},\chal{offline-data},8,8,1.00,8,8,1.00,8,8,1.00,8,8,1.00
\uit{offline-app},\chal{offline-app},8,8,1.00,8,8,1.00,8,8,1.00,8,8,1.00
Totaal,Total,16,16,1.00,16,16,1.00,16,16,1.00,16,16,1.00
