Uitdaging,Challenge,jQM,ST,Lungo,Kendo
U10.1 Bewaar data,C10.1 Saving data,0,0,0,0
U10.3 Maak de applicatie offline beschikbaar,C10.3 Making app offline,0,0,0,0
Totaal,Total,0,0,0,0
