Uitdaging,Challenge,Max,jQM(abs),jQM(rel),ST(abs),ST(rel),Lungo(abs),Lungo(rel),Kendo(abs),Kendo(rel)
U3.1 Toon laadscherm,C3.1 Show load screen,2,2,1.00,2,1.00,2,1.00,2,1.00
U3.2 Toon dialoogvenster,C3.2 Show dialog box,2,2,1.00,2,1.00,2,1.00,2,1.00
Totaal,Total,4,4,1.00,4,1.00,4,1.00,4,1.00
