Uitdaging,Challenge,Max,jQM(abs),jQM(rel),ST(abs),ST(rel),Lungo(abs),Lungo(rel),Kendo(abs),Kendo(rel)
U12.1 Vraag een PDF-bestand op met POST-parameters,C12.1 Requesting a PDF with POST parameters ,2,0,0.00,1,0.50,0,0.00,0,0.00
U12.2 Toon het PDF-bestand,C12.2 Show the PDF,2,1,0.50,1,0.50,1,0.50,1,0.50
Totaal,Total,4,1,0.25,2,0.50,1,0.25,1,0.25
