Uitdaging,Challenge,Max,jQM(abs),jQM(rel),ST(abs),ST(rel),Lungo(abs),Lungo(rel),Kendo(abs),Kendo(rel)
U13.1 Bewaar data,C13.1 Saving data,2,0,0.00,2,1.00,2,1.00,0,0.00
U13.2 Maak de applicatie offline beschikbaar,C13.2 Making app offline,2,1,0.50,2,1.00,1,0.50,1,0.50
Totaal,Total,4,1,0.25,4,1.00,3,0.75,1,0.25
