Uitdaging,Challenge,Max,jQM(abs),jQM(rel),ST(abs),ST(rel),Lungo(abs),Lungo(rel),Kendo(abs),Kendo(rel)
U9.1 Teken een handtekening met vinger of pen,C9.1 Draw a signature with finger or pen ,2,1,0.50,1,0.50,0,0.00,1,0.50
Totaal,Total,2,1,0.50,1,0.50,0,0.00,1,0.50
