Uitdaging,Challenge,jQM,ST,Lungo,Kendo
U7.1 Haal suggesties op gebaseerd op gebruikersinvoer,C7.1 Fetch suggestions based on input,2,1,1,2
U7.2 Toon suggesties in klikbaar dropdownmenu,C7.2 Show suggestions in clickable drop down,2,0,1,2
Totaal,Total,4,1,2,4
