Uitdaging,Challenge,jQM,ST,Lungo,Kendo
U13.1 Laad data in lijst en stijl de elementen met een template,C13.1 Load data into list and styling list items,0,2,0,2
U13.2 Klikbare lijstelementen met actie of link naar het record van het element,C13.2 Clickable items with custom action or linking to record of item,0,2,0,0
U13.3 Sorteren van data,C13.3 Sorting data,1,2,2,2
Totaal,Total,1,6,2,4
