Uitdaging,Challenge,Max,jQM(abs),jQM(rel),ST(abs),ST(rel),Lungo(abs),Lungo(rel),Kendo(abs),Kendo(rel)
U11.1 Laad data in lijst en stijl de elementen met een template,C11.1 Load data into list and styling list items,2,0,0.00,2,1.00,0,0.00,2,1.00
U11.2 Klikbare lijstelementen met actie of link naar het record van het element,C11.2 Clickable items with custom action or linking to record of item,2,0,0.00,2,1.00,0,0.00,0,0.00
U11.3 Sorteren van data,C11.3 Sorting data,2,0,0.00,2,1.00,2,1.00,2,1.00
Totaal,Total,6,0,0.00,6,1.00,2,0.33,4,0.67
