Uitdaging,Challenge,Max,jQM(abs),jQM(rel),ST(abs),ST(rel),Lungo(abs),Lungo(rel),Kendo(abs),Kendo(rel)
U2.1 Herkennen van smartphone en tablet,C2.1 Recognising smartphone or tablet,2,1,0.50,2,1.00,1,0.50,2,1.00
U2.2 Toon het linker menu op een tablet,C2.2 Show left sided menu on tablet ,2,1,0.50,2,1.00,1,0.50,2,1.00
U2.3 Schakel menu in bij smartphone,C2.3 Enabling smartphone menu,2,1,0.50,0,0.00,1,0.50,2,1.00
Totaal,Total,6,3,0.50,4,0.67,3,0.50,6,1.00
