Uitdaging,Challenge,jQM,ST,Lungo,Kendo
U11.1 Toon laadscherm,C11.1 Show load screen,0,0,0,0
U11.2 Toon dialoog,C11.2 Show dialog,0,0,0,0
Totaal,Total,0,0,0,0
