Uitdaging,Challenge,jQM,ST,Lungo,Kendo
U9.1 Herkennen van smartphone en tablet,C9.1 Recognising smartphone or tablet,0,2,0,2
U9.2 Toon het linker menu op een tablet,C9.2 Show left sided menu on tablet ,1,2,1,2
U9.3 Schakel menu in bij smartphone,C9.3 Enabling smartphone menu,1,0,1,2
Totaal,Total,2,4,2,6
