Uitdaging,Challenge,jQM,ST,Lungo,Kendo
U6.1 Kies een afbeelding,C6.1 Choose image,2,1,0,0
U6.2 Converteer de afbeelding naar base64,C6.2 Convert image to base64,0,1,0,0
U6.3 Voorbeeld van de afbeelding,C6.3 Preview image,0,1,0,0
Totaal,Total,2,3,0,0
