Uitdaging,Challenge,jQM,ST,Lungo,Kendo
U12.1 Conversie van munteenheid,C12.1 Converting currency,0,0,0,0
U12.2 Conversie van ID naar tekst,C12.2 Converting ID to string ,0,0,0,0
Totaal,Total,0,0,0,0
