Uitdaging,Challenge,jQM,ST,Lungo,Kendo
U10.1 Bewaar login gegevens,C10.1 Saving credentials,1,2,2,2
U10.2 Bewaar niet verzonden onkosten,C10.2 Saving unsent expenses,1,2,2,2
U10.3 Maak de applicatie offline beschikbaar,C10.3 Making app offline,1,2,1,2
Totaal,Total,3,6,5,6
