Uitdaging,Challenge,Max,jQM(abs),jQM(rel),ST(abs),ST(rel),Lungo(abs),Lungo(rel),Kendo(abs),Kendo(rel)
U1.1 Toon kop-/voettekst en onderkoptekst met titels en knoppen,C1.1 Show header/footer and sub header with titles and buttons,2,2,1.00,2,1.00,0,0.00,0,0.00
U1.2 Tabbar met functionaliteit,C1.2 Tabbar,2,2,1.00,2,1.00,2,1.00,2,1.00
U1.3 Aanpasbaarheid van kleur van knoppen,C1.3 Customisation of button color,2,0,0.00,2,1.00,0,0.00,0,0.00
Totaal,Total,6,4,0.67,6,1.00,2,0.33,2,0.33
