Uitdaging,Challenge,jQM,ST,Lungo,Kendo
U14.1 Toon kop-/voettekst en onderkoptekst met titels en knoppen,C14.1 Show header/footer and sub header with titles and buttons,0,2,0,2
U14.2 Tabbar,C14.2 Tabbar,0,2,0,0
U14.3 Aanpasbaarheid van kleur van knoppen,C14.3 Customisation of button color,0,2,0,2
Totaal,Total,0,6,0,4
