Performantie,Performance,jQM,ST,Lungo,Kendo
Gemiddelde downloadtijd (s),Average download time (s),3.95,4.48,1.79,4.23
Gemiddelde downloadtijd uit cache (s),Average download time from cache (s),0.30,2.34,0.40,0.55
Totaal,Total,4.26,6.82,2.19,4.78
