Apparaat,Device,jQM,ST,Lungo,Kendo
\htc{},\htc{},2,4,1,3
\gtab{},\gtab{},3,4,1,2
\gs{},\gs{},3,4,1,2
\nexus{},\nexus{},3,4,2,1
\ipadi{},\ipadi{},2,4,3,
\ipadiii{},\ipadiii{},3,4,2,
\iphoneiii{},\iphoneiii{},3,4,2,
\iphoneiv{},\iphoneiv{},3,4,2,
Totaal,Total,22,32,14,8
