Apparaat,Device,POC (s),POC Cached (ms),Login (s),Login Cached (ms)
\htc{},\htc{},3.72E+00,1.92E+02,9.44E-01,1.87E+02
\gtab{},\gtab{},5.08E+00,1.66E+02,1.65E+00,1.70E+02
\gs{},\gs{},3.76E+00,1.01E+03,2.66E+00,1.42E+03
\nexus{},\nexus{},1.89E+00,8.10E+01,1.76E+00,3.77E+02
\ipadi{},\ipadi{},4.88E+00,2.50E+02,1.64E+00,2.13E+02
\ipadiii{},\ipadiii{},4.18E+00,1.94E+02,1.42E+00,1.73E+02
\iphoneiii{},\iphoneiii{},5.76E+00,2.74E+02,2.34E+00,2.38E+02
\iphoneiv{},\iphoneiv{},4.77E+00,4.27E+02,1.90E+00,4.13E+02
Totaal,Total,34.05,"2,593.33",14.30,"3,191.67"
