Apparaat,Device,jQM,ST,Lungo,Kendo
 HTCDesireZ, HTCDesireZ,0,0,0,0
GalaxyTab,GalaxyTab,0,0,0,0
GalaxyS,GalaxyS,0,0,0,0
Nexus 7,Nexus 7,0,0,0,0
iPad1 WiFi,iPad1 WiFi,0,0,0,0
iPad3 4G WiFi,iPad3 4G WiFi,0,0,0,0
iPhone 3GS,iPhone 3GS,0,0,0,0
iPhone 4S,iPhone 4S,0,0,0,0
Totaal,Total,0,0,0,0
