Apparaat,Device,POC (s),POC Cached (ms),Login (s),Login Cached (ms)
\htc{},\htc{},9.10E+00,1.79E+02,3.61E+00,1.81E+02
\gtab{},\gtab{},9.63E+00,1.71E+02,3.61E+00,1.69E+02
\gs{},\gs{},7.84E+00,3.74E+03,4.30E+00,2.13E+03
\nexus{},\nexus{},4.07E+00,8.17E+01,2.15E+00,9.68E+02
\ipadi{},\ipadi{},6.80E+00,2.49E+02,3.99E+00,2.16E+02
\ipadiii{},\ipadiii{},5.62E+00,1.77E+02,3.21E+00,1.73E+02
\iphoneiii{},\iphoneiii{},9.22E+00,3.29E+02,6.67E+00,3.16E+02
\iphoneiv{},\iphoneiv{},6.62E+00,3.16E+02,6.30E+00,2.47E+02
Totaal,Total,5.89E+01,5.24E+03,3.36E+01,4.40E+03
