Criteria;jQM;ST
Community (28/02/2013);;
Twitter followers;12421;1109
GitHub starred;7857;NA
GitHub Forkers;1745;NA
Facebook likes;2161;637
Stack Overflow questions;18392;5182
TOTAL;42576;1803
;;
Usage;;
Forms (5);6;4
Form filling (3);0;4
Form validation (4);2;5
Signature (1);1;1
Show PDF (2);2;2
Attach image (3);2;3
Autocomplete (2);2;1
AJAX: text, JSON and XML (4);4;4
Device-specific layout (3);2;4
TOTAL;21;28
